C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Age,Scale of incomes,Highest educational level_1.0,Highest educational level_2.0,Highest educational level_3.0,Highest educational level_4.0,Highest educational level_5.0,Highest educational level_6.0,Highest educational level_7.0,Highest educational level_8.0,Sex_2.0,Signing a petition_2.0,Signing a petition_3.0,Joining unofficial strikes_2.0,Joining unofficial strikes_3.0,Cluster
1,1,1,1,2,2,2,9,45.0,5,False,False,True,False,False,False,False,False,False,False,False,False,True,1
2,0,1,1,1,0,0,9,32.0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,1
2,0,2,2,2,0,0,9,39.0,7,False,False,False,False,False,True,False,False,False,False,False,False,True,1
3,3,3,3,3,2,3,8,24.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,1
3,1,2,2,3,3,1,9,38.0,3,False,False,False,True,False,False,False,False,False,False,False,False,True,1
3,3,1,1,3,2,1,8,29.0,6,False,False,False,False,False,True,False,False,True,False,False,True,False,1
2,2,2,2,3,2,1,9,66.0,4,False,False,False,False,False,True,False,False,True,False,False,True,False,1
2,2,2,2,2,2,2,3,31.0,5,False,False,False,True,False,False,False,False,True,True,False,False,True,1
2,1,1,2,2,2,2,5,45.0,4,False,True,False,False,False,False,False,False,True,True,False,False,True,1
3,1,2,2,2,1,1,9,25.0,4,False,False,False,False,False,True,False,False,True,False,False,False,False,1
2,2,2,2,2,1,2,9,44.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,1
2,2,2,2,2,2,2,8,62.0,6,False,True,False,False,False,False,False,False,False,False,False,False,False,1
2,2,0,1,2,0,0,9,45.0,6,False,False,False,False,False,False,True,False,True,False,False,True,False,1
2,2,2,3,3,2,1,9,51.0,3,False,False,False,False,True,False,False,False,True,False,False,False,True,1
2,2,1,1,2,1,1,7,33.0,2,False,False,False,False,False,True,False,False,True,True,False,True,False,1
1,0,0,0,1,0,0,9,53.0,3,False,False,False,False,False,True,False,False,False,False,False,True,False,1
1,1,1,1,1,1,1,6,32.0,6,False,False,True,False,False,False,False,False,False,True,False,False,False,1
2,2,1,1,2,2,1,9,28.0,4,False,False,False,False,False,True,False,False,True,False,False,True,False,1
1,1,1,1,1,1,0,9,38.0,5,False,False,False,False,False,True,False,False,True,True,False,True,False,1
2,3,3,3,3,2,2,9,32.0,4,False,False,False,True,False,False,False,False,True,False,False,True,False,1
2,2,1,2,3,1,2,9,27.0,5,False,False,False,False,False,True,False,False,False,False,True,False,True,1
2,2,1,1,2,1,2,9,47.0,3,False,False,False,False,False,True,False,False,False,False,False,True,False,1
1,1,1,1,1,1,0,8,23.0,7,False,False,False,False,False,True,False,False,True,True,False,True,False,1
1,2,1,2,2,1,1,8,40.0,5,False,False,False,False,False,True,False,False,False,False,False,True,False,1
