Country,C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Highest educational level,Age,Scale of incomes,Sex,Strong Leader,Expert Non Govt Person,Signing a petition,Joining unofficial strikes
20,3,1,1,3,3,3,3,10,3,39.0,3,2,4,3,2,2
20,4,1,2,2,2,3,3,10,0,86.0,2,1,4,1,3,3
20,3,4,4,4,4,3,3,10,5,46.0,,2,4,3,1,2
20,4,2,2,2,3,2,2,10,6,49.0,8,2,4,2,1,1
20,3,2,2,2,2,2,2,10,2,45.0,3,2,4,2,2,2
20,2,2,2,2,3,2,3,10,3,32.0,4,1,1,1,2,3
20,3,4,4,3,3,4,4,8,4,30.0,3,2,4,4,1,3
20,2,2,2,2,4,2,3,10,1,38.0,3,2,2,2,3,3
20,2,3,3,2,3,2,2,10,2,24.0,,1,1,1,3,3
20,4,2,4,,3,4,4,9,5,37.0,4,1,3,2,3,2
20,3,2,2,4,4,4,3,10,2,28.0,6,1,1,2,2,3
20,3,4,4,3,4,2,2,10,2,30.0,3,1,1,1,3,3
20,3,2,2,2,3,3,3,8,6,31.0,4,2,2,3,3,3
20,3,2,3,2,3,3,3,10,6,32.0,5,2,2,3,2,2
20,3,4,4,3,4,3,4,7,,29.0,6,2,1,2,3,3
20,4,4,4,4,4,3,4,6,6,30.0,6,2,1,2,2,3
20,3,3,3,4,4,3,4,10,3,41.0,5,2,1,2,1,3
20,2,3,2,2,4,3,2,10,2,46.0,3,1,1,2,2,3
20,2,2,2,2,3,2,3,6,4,48.0,5,2,1,2,2,3
20,3,2,2,3,3,3,2,10,4,50.0,6,2,1,2,2,3
20,2,2,2,2,4,3,2,10,6,27.0,,1,1,1,3,3
20,2,3,2,2,3,2,3,10,6,37.0,3,2,1,2,2,3
20,3,2,2,2,4,3,3,10,6,54.0,6,2,1,1,2,3
20,3,3,2,2,4,3,2,10,2,47.0,3,1,1,1,1,3
20,3,3,3,3,4,2,3,10,2,41.0,5,1,2,3,3,3
20,2,2,2,2,3,2,2,10,2,24.0,5,2,1,3,2,3
20,2,4,4,3,4,3,3,10,3,30.0,5,1,2,2,2,3
